name,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Alabama,N/A,1105,904,813,3690,2042,705,0,248,15519,13993,668,0,1962,3451,722,1212,1500,3789,140,808,1452,1893,41,4377,864,151,386,771,176,599,53,1996,3597,17,2364,541,245,2336,257,2448,0,9970,8405,2083,0,2876,1883,421,1307,0
Alaska,260,N/A,886,12,2547,685,153,224,69,2473,743,217,1644,952,0,143,1296,1017,529,77,339,515,310,417,86,890,113,1,986,0,0,878,329,2557,187,29,359,750,385,0,448,280,301,4332,1092,44,2216,1435,355,228,242
Arizona,1750,1561,N/A,1022,59713,14684,895,653,239,7358,3947,4942,2961,10915,3156,2982,3742,383,1650,218,1905,2745,7914,5868,393,2248,1636,2307,7514,392,3221,7251,6079,4038,1012,5178,2042,6979,4906,227,304,989,2253,17482,8917,662,3837,17636,237,3688,664
Arkansas,636,98,692,N/A,4967,1585,87,0,295,2118,1352,118,157,1308,438,674,1139,265,4089,39,535,97,820,1142,1867,4368,74,380,962,0,420,0,642,369,39,569,5826,501,533,0,443,0,3237,12851,710,0,671,571,133,797,1109
California,3310,5064,28226,3104,N/A,15085,4067,1630,3075,22692,14496,11985,4372,24085,4923,1956,2941,2606,5347,2335,11775,16158,6406,8951,2354,7638,1974,2587,26433,709,10812,3418,37567,13863,710,9098,3747,17265,12578,2839,5803,1345,5863,37063,8504,784,24506,31882,303,4811,1159
Colorado,3422,862,10616,1022,29350,N/A,942,0,259,14124,6985,2782,798,10153,3114,2589,6544,1455,3901,900,3555,6053,3101,5523,554,4801,1984,4861,3888,196,3677,4895,7965,4930,2084,4432,4412,3619,3362,820,1081,1581,5549,32295,2458,161,6796,7333,502,4454,3860
Connecticut,248,220,441,0,4049,1165,N/A,45,313,7501,1266,912,0,1389,309,165,94,135,764,743,1720,13020,1091,676,0,212,0,189,174,741,5297,0,27606,2640,0,1369,199,523,3711,3788,910,539,921,2141,120,103,1764,191,408,232,0
Delaware,0,294,0,0,161,530,415,N/A,442,939,344,0,0,562,0,0,189,0,41,0,8646,548,0,0,26,37,29,262,149,78,6955,177,3044,1167,0,34,1025,0,8902,258,8,0,409,744,75,0,1260,45,219,0,0
District of Columbia,462,338,291,0,3437,870,1298,0,N/A,1496,1190,0,28,1361,427,59,41,131,452,448,15499,2383,758,278,265,976,4,49,0,49,2758,466,4314,1481,0,755,185,172,1718,138,568,250,991,2073,0,54,8828,852,324,362,0
Florida,15153,4906,7054,3544,28628,13656,13227,3083,2705,N/A,49681,4103,1032,24425,18175,3669,1813,10545,8606,4812,14831,17056,21668,6239,4572,11326,591,1948,3674,3529,28222,2349,57488,28207,1230,30335,6488,4309,34965,2685,9909,1364,14573,26174,3433,3355,26031,6870,2186,6563,624
